Graph,n,m,minDeg,maxDeg,Time,Heuristics,variable,value
"I?rn^n~~w
",10,34,3,9,0.0014562606811523438,0,RandomSolvable,0.0
"I?rn^z~~w
",10,34,3,9,0.0010802745819091797,0,RandomSolvable,0.0
"I?rn^~}~w
",10,34,3,9,0.0005738735198974609,0,RandomSolvable,0.0
"I?rn^~~~w
",10,35,3,9,0.0006489753723144531,0,RandomSolvable,0.0
"I?rnf~~~w
",10,34,4,9,0.0004172325134277344,0,RandomSolvable,0.0
"I?rnnn~~w
",10,34,4,9,0.0010194778442382812,0,RandomSolvable,0.0
"I?rnnz~~w
",10,34,4,9,0.0003771781921386719,0,RandomSolvable,0.0
"I?rnn~}~w
",10,34,4,9,0.0005664825439453125,0,RandomSolvable,0.0
"I?rnn~~~w
",10,35,4,9,0.0005412101745605469,0,RandomSolvable,0.0
"I?rnu~~~w
",10,34,4,9,0.0005793571472167969,0,RandomSolvable,0.0
"I?rnvn~~w
",10,34,4,9,0.0005815029144287109,0,RandomSolvable,0.0
"I?rnvv~~w
",10,34,4,9,0.0005435943603515625,0,RandomSolvable,0.0
"I?rnvz~~w
",10,34,4,9,0.00051116943359375,0,RandomSolvable,0.0
"I?rnv~}~w
",10,34,4,9,0.0004253387451171875,0,RandomSolvable,0.0
"I?rnv~~~w
",10,35,4,9,0.0005879402160644531,0,RandomSolvable,0.0
"I?rn~z}~w
",10,34,4,9,0.0004248619079589844,0,RandomSolvable,0.0
"I?rn~z~~w
",10,35,4,9,0.000576019287109375,0,RandomSolvable,0.0
"I?rn~~~~w
",10,36,4,9,0.0004413127899169922,0,RandomSolvable,0.0
"I?rvf~~~w
",10,34,5,9,0.0007035732269287109,0,RandomSolvable,0.0
"I?rvnn~~w
",10,34,1,9,0.001318216323852539,1,RandomSolvable,0.0
"I?rvnz~~w
",10,34,5,9,0.0007677078247070312,0,RandomSolvable,0.0
"I?rvn~}~w
",10,34,5,9,0.000396728515625,0,RandomSolvable,1.0
"I?rvn~~~w
",10,35,5,9,0.0006470680236816406,0,RandomSolvable,0.0
"I?rvvv~~w
",10,34,5,9,0.0006155967712402344,0,RandomSolvable,0.0
"I?rvvz~~w
",10,34,5,9,0.0006556510925292969,0,RandomSolvable,0.0
"I?rvv~}~w
",10,34,5,9,0.0009403228759765625,0,RandomSolvable,0.0
"I?rvv~~~w
",10,35,5,9,0.0006232261657714844,0,RandomSolvable,0.0
"I?rv~z~~w
",10,35,5,9,0.0011525154113769531,0,RandomSolvable,0.0
"I?rv~~~~w
",10,36,5,9,0.0003879070281982422,0,RandomSolvable,0.0
"I?r~vr~~w
",10,34,5,9,0.0004687309265136719,0,RandomSolvable,0.0
